"Dataset","Sample","Assembly","total_reads","size","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2153","NGS_Ode","SAMD00025531","smaltalign",402752,66549993,2039.91,16.82," 12;45.64",1428372,2143168," 268%"
"V2252","NGS_Ode","SAMD00025531","viralngs",402752,66549993,1043.38,28.9," 4;49.29",1187508,5745152," 370%"
"V2352","NGS_Ode","SAMD00025531","vpipe",402752,66549993,10233.76,1094.44," 51;16.09",1367776,15804208," 368%"
"V282","NGS_Ode","SAMD00025532","shiver",427908,68150008,6865.3,48.2," 1;50;39",1510980,17779112," 104%"
"V2154","NGS_Ode","SAMD00025532","smaltalign",427908,68150008,1906.79,15.54," 11;29.15",1427732,2075056," 278%"
"V2253","NGS_Ode","SAMD00025532","viralngs",427908,68150008,1035.73,27.89," 5;03.21",1226940,5648472," 350%"
"V2353","NGS_Ode","SAMD00025532","vpipe",427908,68150008,10722.3,1098.07," 53;29.09",1199912,15937128," 368%"
"V283","NGS_Ode","SAMD00025533","shiver",396370,60225389,2129.47,24.58," 34;41.26",1500980,6864392," 103%"
"V2155","NGS_Ode","SAMD00025533","smaltalign",396370,60225389,1741.69,14.63," 10;41.04",1427992,1977976," 273%"
"V2254","NGS_Ode","SAMD00025533","viralngs",396370,60225389,1120.51,27.62," 5;20.54",1003496,5653952," 358%"
"V2354","NGS_Ode","SAMD00025533","vpipe",396370,60225389,6219.2,686.83," 32;29.56",1199172,15044104," 354%"
